62.567,0.72,-1.22,0.35,97.852,1.2297,196.5
66.499,0.72,-1.22,0.35,97.852,1.2297,196.5
70.264,0.72,-1.46,0.35,97.426,1.2244,196.9
71.734,0.72,-1.46,0.35,97.426,1.2244,196.9
76.583,0.72,-1.46,0.35,97.426,1.2244,196.9
78.054,0.72,-1.46,0.35,97.426,1.2244,196.9
78.87,0.72,-1.46,0.35,97.426,1.2244,196.9
79.672,0.72,-1.46,0.35,97.426,1.2244,196.9
80.471,0.72,-1.46,0.35,97.426,1.2244,196.9
81.275,0.72,-1.22,0.35,97.852,1.2297,196.5
82.081,0.72,-1.22,0.35,97.852,1.2297,196.5
82.915,0.72,-1.22,0.35,97.852,1.2297,196.5
83.712,0.72,-1.22,0.35,97.852,1.2297,196.5
84.519,0.72,-1.22,0.35,97.852,1.2297,196.5
85.392,0.72,-1.22,0.35,97.852,1.2297,196.5
86.207,0.72,-1.22,0.35,97.852,1.2297,196.5
87.014,0.72,-1.22,0.35,97.852,1.2297,196.5
87.818,0.72,-1.22,0.35,97.852,1.2297,196.5
88.62,0.72,-1.22,0.35,97.852,1.2297,196.5
89.415,0.72,-1.22,0.35,97.852,1.2297,196.5
90.241,0.72,-1.22,0.35,97.852,1.2297,196.5
91.04,0.72,-1.22,0.35,97.852,1.2297,196.5
91.843,0.72,-1.22,0.35,97.852,1.2297,196.5
92.639,0.72,-1.22,0.35,97.852,1.2297,196.5
93.436,0.72,-1.22,0.35,97.852,1.2297,196.5
94.322,0.72,-1.22,0.35,97.852,1.2297,196.5
95.122,0.72,-1.22,0.35,97.852,1.2297,196.5
95.918,0.72,-1.22,0.35,97.852,1.2297,196.5
96.715,0.72,-1.22,0.35,97.852,1.2297,196.5
97.529,0.72,-1.22,0.11,97.844,1.2296,196.91
98.345,0.72,-1.22,0.11,97.844,1.2296,196.91
99.141,0.72,-1.22,0.11,97.844,1.2296,196.91
99.936,0.72,-1.22,0.11,97.844,1.2296,196.91
100.8,0.72,-1.22,0.11,97.844,1.2296,196.91
101.61,0.72,-1.22,0.11,97.844,1.2296,196.91
102.47,0.72,-1.22,0.11,97.844,1.2296,196.91
103.38,0.72,-1.22,0.11,97.844,1.2296,196.91
104.19,0.72,-1.22,0.11,97.844,1.2296,196.91
105.03,0.72,-1.22,0.11,97.844,1.2296,196.91
105.83,0.72,-1.22,0.11,97.844,1.2296,196.91
106.66,0.72,-1.22,0.11,97.844,1.2296,196.91
107.47,0.72,-1.22,0.11,97.844,1.2296,196.91
108.27,0.72,-1.22,0.11,97.844,1.2296,196.91
109.07,0.72,-1.22,0.11,97.844,1.2296,196.91
109.88,0.72,-1.22,0.11,97.844,1.2296,196.91
110.7,0.72,-1.22,0.11,97.844,1.2296,196.91
111.51,0.72,-1.22,0.11,97.844,1.2296,196.91
112.41,0.72,-1.22,0.11,97.844,1.2296,196.91
113.23,0.72,-1.22,0.11,98.276,1.235,196.08
114.03,0.72,-0.98,0.35,98.276,1.235,196.08
114.83,0.72,-0.98,0.35,98.276,1.235,196.08
115.62,0.72,-0.98,0.35,98.276,1.235,196.08
116.42,0.72,-0.98,0.35,98.276,1.235,196.08
117.22,0.72,-0.98,0.35,98.276,1.235,196.08
118.02,0.72,-0.98,0.35,98.276,1.235,196.08
118.85,0.72,-0.98,0.35,98.276,1.235,196.08
119.65,0.72,-0.98,0.35,98.276,1.235,196.08
120.44,0.72,-0.98,0.35,98.276,1.235,196.08
